,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
360,Tuindorp Nieuwendam,Wijk      ,WK036362  ,3540,9.04,22.6,29.52,23.16,26.27,11.3,14.97,23.73,19.49,30.23,316.0,23.5,46.1,12.8
361,Tuindorp Nieuwendam West,Buurt     ,BU03636200,1055,9.0,21.8,28.44,28.91,30.33,12.8,17.54,36.02,20.85,17.06,301.0,24.0,46.2,13.6
362,Tuindorp Nieuwendam Oost,Buurt     ,BU03636201,2485,9.26,23.14,29.98,20.93,24.55,10.66,13.88,18.91,19.32,35.01,322.0,23.4,46.1,12.4
363,Tuindorp Buiksloot,Wijk      ,WK036363  ,1885,10.34,25.99,29.44,19.1,32.1,11.14,20.95,27.59,25.99,23.34,303.0,22.5,48.3,12.7
364,Blauwe Zand,Buurt     ,BU03636300,1885,10.08,25.99,29.44,19.1,32.1,11.14,20.95,27.59,25.99,23.34,303.0,22.5,48.3,12.7
365,Nieuwendammerdijk/Buiksloterdijk,Wijk      ,WK036364  ,1655,10.27,18.73,32.33,16.31,19.94,16.01,3.93,6.65,14.5,52.57,660.0,40.7,27.3,43.0
366,Buiksloterdijk West,Buurt     ,BU03636400,145,13.79,13.79,31.03,24.14,20.69,17.24,3.45,6.9,13.79,62.07,687.0,43.6,31.5,41.4
367,Buiksloterdijk Oost,Buurt     ,BU03636401,125,8.0,16.0,32.0,28.0,28.0,16.0,12.0,,,,835.0,48.0,24.3,42.1
368,Nieuwendammerdijk West,Buurt     ,BU03636402,1025,9.76,19.02,34.15,15.12,18.54,14.63,3.9,6.83,12.68,54.63,640.0,39.5,26.9,43.6
369,Nieuwendammerdijk Oost,Buurt     ,BU03636403,350,12.86,20.0,28.57,14.29,22.86,21.43,1.43,5.71,20.0,45.71,634.0,40.6,27.4,42.3
370,Nieuwendammerdijk Zuid,Buurt     ,BU03636404,5,100.0,0.0,100.0,0.0,100.0,100.0,0.0,,,,,,,
371,Tuindorp Oostzaan,Wijk      ,WK036365  ,11955,9.49,28.98,26.68,16.44,40.15,11.67,28.48,23.84,25.18,24.93,317.0,24.1,44.0,16.1
372,Tuindorp Oostzaan West,Buurt     ,BU03636500,1135,7.49,19.82,25.99,33.04,30.4,10.13,20.26,25.55,29.96,13.22,285.0,23.7,45.6,12.3
373,Tuindorp Oostzaan Oost,Buurt     ,BU03636501,4190,9.19,26.85,28.52,18.5,30.43,11.46,18.97,28.64,26.49,19.57,289.0,22.7,46.0,12.7
374,Terrasdorp,Buurt     ,BU03636502,4090,9.54,30.07,28.73,18.34,46.7,13.08,33.62,27.87,28.36,21.52,286.0,23.6,47.3,13.3
375,De Bongerd,Buurt     ,BU03636503,2540,10.83,34.65,20.47,2.56,50.0,10.43,39.57,12.2,17.72,39.37,524.0,27.2,33.0,30.4
376,Oostzanerwerf,Wijk      ,WK036366  ,8885,12.72,25.49,29.6,15.19,44.96,12.49,32.47,27.01,30.16,19.02,328.0,24.9,42.6,17.2
377,Oostzanerdijk,Buurt     ,BU03636601,405,8.64,23.46,37.04,14.81,17.28,13.58,3.7,14.81,24.69,37.04,423.0,30.8,33.0,28.7
378,Walvisbuurt,Buurt     ,BU03636602,1400,13.93,25.0,33.57,11.43,42.5,12.14,30.36,22.14,36.43,20.71,389.0,28.1,36.1,21.4
379,Twiske West,Buurt     ,BU03636603,2465,14.0,20.69,35.29,13.59,32.45,12.37,20.08,21.1,30.83,26.77,418.0,29.2,36.4,24.2
380,Noorder IJplas,Buurt     ,BU03636604,140,7.14,10.71,46.43,25.0,17.86,10.71,7.14,28.57,21.43,35.71,,31.4,36.7,25.0
381,Molenwijk,Buurt     ,BU03636605,3140,12.9,26.75,20.86,19.27,62.26,12.1,50.16,33.76,22.61,12.74,247.0,17.8,55.9,6.8
